Key,English,Chinese
Game_RealStory5,"Parents: We received a bill today for your gaming credit card.

Parents: Dad and I take this very seriously. This isn't gaming, this is gambling!!!

Parents: Your life has been completely disrupted, and you need to stop.

Do you hear me? Hey!","爸爸：我们今天收到了你信用卡的账单。听着！你在这个游戏上充太多钱了。

妈妈：这根本不是游戏，这是赌博！！！他们不断给你小礼品，就为了让你一直充钱玩下去。

父母：你的生活已经被彻底打乱了，你必须停止。

父母：你听见了吗？嘿！"
Game_BirdStory5,"Bird Follower 5: Actually, the new Bird King is quite nice, but he doesn't talk much. Is he shy?

Bird Follower 6: The new Bird King is in love... The bird he likes doesn't want to migrate with him, saying they have different lifestyles and can't be together.

Bird Follower 7: What!!!????","鸟人5：其实，新来的鸟王人挺好的，就是不怎么说话。他是不是害羞？

鸟人6：新来的鸟王恋爱了……不过他喜欢的那只鸟儿不想跟他一起迁徙，说什么他们生活方式不一样，不能在一起。

鸟人7：什么？！！鸟王已经有心仪的鸟了？"
Game_BirdStory6,"Bird Fan 1: I found out! The bird the Bird King favored seemed to be his companion in the bird fighting arena. It was said to be a domesticated pet. But the Bird King won and was released, while the pet bird didn't win and never came out.

Bird Fan 2: Huh? Is the pet bird still alive?

Bird Fan 1: I don't know, but the chances of it being a bad omen are slim.","鸟迷1：我打听到了！！！鸟王偏爱的那只鸟，似乎是他在斗鸟场上的伙伴。据说那是一只家养宠物。鸟王赢了比赛被释放了，但是那只宠物鸟输了比赛。

鸟迷2：咦？那只宠物鸟还活着吗？

鸟迷1：我不知道，没他消息了。活着的可能性很小了。"
Game_RealStory6,"Parents: Why are you moving out so suddenly?

Parents: Sharing with your friends?

Parents: Aren't you broke?","父母：你为什么突然搬出去？

父母：和朋友合住？

父母：你不是已经没钱吗？"
Game_RealStory7,"Parents: You've got a debt collection call at home!!!

Parents: Such a large sum! How could you possibly owe such a large sum?!

Parents: This time, Dad and I will help you pay off your debt. We have no savings left. You must stop gambling.","父母：家里有催债电话！！！

父母：这么多钱！你怎么可能欠这么多钱？！

孩子：……………………………………

父母：这次，爸爸妈妈会帮你还清债务。我们已经没有积蓄了。你必须停止赌博。"
Game_BirdStory7,"Bird Fan 3: Have you heard? The pet bird seems to be still alive.

Bird Fan 4: No way! Wasn't it said to be dead?

Bird Fan 5: Rumor has it! The pet bird isn't dead! It's just badly injured and is currently in someone's hands.","鸟迷3：你听说了吗？那只宠物鸟好像还活着。

鸟迷4：不会吧！它不是说死了吗？

鸟迷5：传言是真的！那只宠物鸟没死！只是受了重伤，现在在某个人类手里。"
Game_BirdStory8,"Bird Fan 6: This place looks familiar. I seem to be almost at my destination. It looks like this journey is coming to a safe end.

Bird Fan 7: We're indeed almost in the safe zone. Sigh, do you think the Bird King will go retrieve his pet bird?

Bird Fan 8: I don't know. Can pet birds survive in the wild?","鸟迷6：这地方看起来好眼熟啊。我好像快到目的地了。看来这次迁徙就要安全结束了。

鸟迷7：我们确实快到安全区了。唉，你们觉得鸟王会去把他的宠物鸟带回来吗？

鸟迷8：我不知道。宠物鸟能在野外生存吗？"
Game_RealStory8,"Parents: Your friend told me you borrowed money from him and haven't paid it back yet.

Parents: Is that so?","父母：你朋友告诉我你向他借了钱，但还没还。

父母：是吗？回答我。别不出声。"
Game_BirdStory9,"Bird Fans: Hey, hey! Where's the Bird King?

Bird Fans: He's gone.","鸟迷们：嘿，嘿！鸟王去哪儿了？

鸟迷们：鸟王安顿好大家后就立刻飞走了。

鸟迷们：是去找宠物鸟了吗？

鸟迷们：天哪，真是绝美的爱情~"
Game_RealStory9,"Parents: Aren't you planning on continuing your studies?

Child: I don't have the heart to do it anymore.

Parents: Well, my family can't afford it anymore.","父母：你不打算继续学业了吗？

孩子：我没那个精力继续学下去了。

父母：唉，我家负担不起了。"
Game_End_AllDeath,"<align=""center""><size=150%><color=#FFFF00>Ha ! A commander with no troops !</color></size></align>

Oh my God !  What have you done ? ! 

All the little birds that followed you are dead !

You're no true Bird King at all ! ","<align=""center""><size=150%><color=#FFFF00>哈！光杆司令！</color></size></align>

我的天哪！看看你都做了些什么？！

所有追随你的小鸟都死了！

你根本不是什么真正的鸟王！"
Restart,Restart,再试一次
GodCalling,God Calling,上帝来电
BirdKingPower,Bird King Power,鸟王力量
Game_End_GetLose,"<align=""center""><size=150%><color=#FFFF00>Sorry ! Failed to inherit the throne... </color></size></align>

You’re flying way too slowly and getting lost. 

The weather is getting colder and colder; at this rate, it seems you won't reach your destination…

In the end, the birds believed you were not capable enough to lead the flock and elected a new king.

The flock flew away with the new king…","<align=""center""><size=150%><color=#FFFF00>抱歉！继位失败……</color></size></align>

你飞得太慢了，冷空气都追上你了。

鸟群根本受不了低温，你也冻得头昏脑胀，失去了方向……

最终，鸟群认为你没有能力领导它们，于是重新选出了一位新鸟王。他们都跟随新王飞走了……"
